sentido,t_s,posicion_mm,presion_A_bar,presion_B_bar
extendiendo,4.7143,45.3723,14.5572,24.8239
extendiendo,4.8180,45.6788,14.5875,24.7513
extendiendo,4.9108,46.0594,14.5181,24.5709
extendiendo,5.0130,46.4496,14.4178,24.4252
extendiendo,5.1162,46.7824,14.3280,24.3163
extendiendo,5.2175,47.0853,14.2528,24.1905
extendiendo,5.3214,47.3675,14.2303,24.1065
extendiendo,5.4165,47.7631,14.1040,23.9438
extendiendo,5.5188,48.1092,14.0732,23.8069
extendiendo,5.6126,48.4706,13.9165,23.6815
extendiendo,5.7109,48.7478,13.9061,23.6204
extendiendo,5.8133,49.0892,13.8617,23.5281
extendiendo,5.9155,49.4040,13.8434,23.3965
extendiendo,6.0194,49.8084,13.7526,23.2734
extendiendo,6.1134,50.1353,13.6915,23.1856
extendiendo,6.2162,50.4396,13.5787,23.0760
extendiendo,6.3158,50.7289,13.5484,22.9911
extendiendo,6.4200,51.0833,13.4978,22.8575
extendiendo,6.5134,51.4534,13.3871,22.7403
extendiendo,6.6168,51.8123,13.3333,22.6410
extendiendo,6.7210,52.1048,13.2696,22.5496
extendiendo,6.8193,52.4038,13.2722,22.4735
extendiendo,6.9127,52.7431,13.2221,22.3810
extendiendo,7.0170,53.1261,13.1693,22.2770
extendiendo,7.1203,53.4535,13.0795,22.1895
extendiendo,7.2145,53.7678,13.0299,22.1207
extendiendo,7.3161,54.0340,12.9453,22.0153
extendiendo,7.4211,54.3881,12.9871,21.9794
extendiendo,7.5153,54.7437,12.9317,21.8581
extendiendo,7.6192,55.0742,12.9009,21.8123
extendiendo,7.7127,55.3786,12.7991,21.7130
extendiendo,7.8206,55.6659,12.9035,21.6992
extendiendo,7.9114,55.9970,12.7699,21.5817
extendiendo,8.0147,56.3399,12.7250,21.5127
extendiendo,8.1184,56.6799,12.5521,21.3722
extendiendo,8.2126,56.9823,12.5250,21.3440
extendiendo,8.3171,57.2847,12.5767,21.2774
extendiendo,8.4188,57.6029,12.4686,21.2072
extendiendo,8.5116,57.9798,12.5338,21.1863
extendiendo,8.6160,58.2835,12.4190,21.1055
extendiendo,8.7193,58.5982,12.3840,21.0259
extendiendo,8.8121,58.8800,12.3124,20.9601
extendiendo,8.9174,59.2026,12.3145,20.9398
extendiendo,9.0207,59.5608,12.3495,20.9014
extendiendo,9.1135,59.9025,12.1443,20.7521
extendiendo,9.2177,60.1700,12.2038,20.7395
extendiendo,9.3206,60.4884,12.1229,20.6561
extendiendo,9.4230,60.8134,12.1605,20.6105
extendiendo,9.5160,61.1609,12.0555,20.5395
extendiendo,9.6208,61.4815,12.1605,20.5500
extendiendo,9.7137,61.7677,12.0811,20.4554
extendiendo,9.8177,62.0608,12.1192,20.4407
extendiendo,9.9217,62.3623,11.9788,20.3500
extendiendo,10.0201,62.6916,11.9913,20.3429
extendiendo,10.1141,63.0503,12.0112,20.2848
extendiendo,10.2168,63.3464,11.9005,20.2010
extendiendo,10.3206,63.6279,11.8289,20.1161
extendiendo,10.4145,63.9051,11.9088,20.1441
extendiendo,10.5109,64.2488,11.8341,20.0765
extendiendo,10.6157,64.5733,11.7804,20.0354
extendiendo,10.7189,64.9092,11.7396,19.9775
extendiendo,10.8121,65.2070,11.7266,19.8891
extendiendo,10.9160,65.4788,11.7939,19.8944
extendiendo,11.0184,65.8052,11.7067,19.8559
extendiendo,11.1210,66.1193,11.6822,19.8118
extendiendo,11.2141,66.4792,11.6550,19.7537
extendiendo,11.3194,66.7692,11.5376,19.7011
extendiendo,11.4129,67.0294,11.6007,19.6832
extendiendo,11.5149,67.3633,11.4974,19.6268
extendiendo,11.6197,67.6662,11.5057,19.6294
extendiendo,11.7130,68.0198,11.4279,19.5416
extendiendo,11.8163,68.3111,11.4864,19.5563
extendiendo,11.9210,68.5698,11.4509,19.5078
extendiendo,12.0151,68.8921,11.4336,19.4669
extendiendo,12.1168,69.2232,11.4102,19.4323
extendiendo,12.2213,69.5391,11.3715,19.3950
extendiendo,12.3147,69.8399,11.3021,19.3060
extendiendo,12.4203,70.0986,11.2707,19.2898
extendiendo,12.5134,70.3920,11.3005,19.2801
extendiendo,12.6196,70.7497,11.3141,19.2416
extendiendo,12.7125,71.0864,11.2739,19.2040
extendiendo,12.8172,71.3832,11.2545,19.1744
extendiendo,12.9114,71.6312,11.2154,19.1738
extendiendo,13.0156,71.9200,11.2300,19.0936
extendiendo,13.1205,72.2508,11.1799,19.0786
extendiendo,13.2209,72.6001,11.0880,19.0463
extendiendo,13.3155,72.8942,11.1141,18.9884
extendiendo,13.4193,73.1915,11.0634,18.9682
extendiendo,13.5120,73.4423,11.1052,18.9479
extendiendo,13.6159,73.7813,11.1157,18.9306
extendiendo,13.7181,74.1225,11.1668,18.9220
extendiendo,13.8109,74.4509,11.0697,18.8454
extendiendo,13.9136,74.7157,11.0232,18.8036
extendiendo,14.0173,74.9829,11.0530,18.8001
extendiendo,14.1207,75.2953,11.0843,18.8236
extendiendo,14.2129,75.6185,10.9366,18.7331
extendiendo,14.3157,75.9593,10.9214,18.7120
extendiendo,14.4178,76.2331,10.9642,18.6908
extendiendo,14.5205,76.4940,10.8963,18.6594
extendiendo,14.6131,76.7602,10.9830,18.6897
extendiendo,14.7175,77.1024,10.9073,18.6118
extendiendo,14.8198,77.4216,10.9329,18.6400
extendiendo,14.9126,77.7155,10.9073,18.5816
extendiendo,15.0154,77.9902,10.8984,18.5460
extendiendo,15.1179,78.2664,10.9193,18.5446
extendiendo,15.2107,78.6268,10.7966,18.4858
extendiendo,15.3124,78.9537,10.7402,18.4694
extendiendo,15.4163,79.2180,10.7590,18.4179
extendiendo,15.5209,79.4942,10.7141,18.3519
extendiendo,15.6147,79.7364,10.8864,18.4802
extendiendo,15.7193,80.1272,10.7527,18.3803
extendiendo,15.8155,80.4342,10.7073,18.3245
extendiendo,15.9207,80.7441,10.6551,18.2673
extendiendo,16.0135,80.9931,10.6749,18.2952
extendiendo,16.1187,81.2654,10.6290,18.2696
extendiendo,16.2129,81.5817,10.7491,18.2987
extendiendo,16.3137,81.9268,10.6692,18.2370
extendiendo,16.4114,82.2287,10.5303,18.1536
extendiendo,16.5147,82.4656,10.6635,18.2135
extendiendo,16.6177,82.7462,10.6139,18.1630
extendiendo,16.7122,83.1015,10.5663,18.1383
extendiendo,16.8157,83.3864,10.5387,18.0654
extendiendo,16.9195,83.7252,10.5575,18.0831
extendiendo,17.0131,83.9747,10.4807,18.0399
extendiendo,17.1166,84.2516,10.5632,18.0663
extendiendo,17.2205,84.5484,10.6149,18.0505
extendiendo,17.3141,84.8933,10.5110,17.9964
extendiendo,17.4207,85.1761,10.5371,18.0117
extendiendo,17.5134,85.4612,10.4039,17.9241
extendiendo,17.6184,85.7124,10.4384,17.9297
extendiendo,17.7121,86.0015,10.5032,17.9494
extendiendo,17.8166,86.3456,10.5423,17.9362
extendiendo,17.9162,86.6575,10.4603,17.8883
extendiendo,18.0109,86.9332,10.5256,17.9394
extendiendo,18.1140,87.1749,10.4431,17.8948
extendiendo,18.2182,87.4999,10.4468,17.8771
extendiendo,18.3120,87.8239,10.4337,17.8287
